cid	uid	sessionid	qid	dqid	q_s_id	log_q_ts	q_detail
3	D2F5FF7A-3BB8-8B2D-B6E0-458A02509731	6204527C-2787-CD8F-1DE5-BA09839A8170	4	ED0F73B3-09E2-E8F4-9C24-B94B56B306E3	1	1583904884	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0"}
3	D2F5FF7A-3BB8-8B2D-B6E0-458A02509731	6204527C-2787-CD8F-1DE5-BA09839A8170	4	1F511BAD-69AD-F028-640E-AEECF1698D02	1	1583904889	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"1"}
3	D2F5FF7A-3BB8-8B2D-B6E0-458A02509731	6204527C-2787-CD8F-1DE5-BA09839A8170	5	43B36B96-E5C6-911F-E982-2F143F32AA02	1	1583904892	{"level":1,"stage":2,"hasCompleted":false,"replayCount":"0"}
3	D2F5FF7A-3BB8-8B2D-B6E0-458A02509731	6204527C-2787-CD8F-1DE5-BA09839A8170	5	NULL	0	1583904892	{"knivesThrown":3,"time":2.3166666666667,"levelTime":0,"levelKnivesThrown":0}
3	D2F5FF7A-3BB8-8B2D-B6E0-458A02509731	6204527C-2787-CD8F-1DE5-BA09839A8170	6	951028A6-42E4-2BBD-44DF-7C7C82BB3D93	1	1583904896	{"level":1,"stage":3,"hasCompleted":false,"replayCount":"0"}
3	D2F5FF7A-3BB8-8B2D-B6E0-458A02509731	6204527C-2787-CD8F-1DE5-BA09839A8170	6	NULL	0	1583904896	{"knivesThrown":8,"time":6.3833333333333,"levelTime":0,"levelKnivesThrown":0}
3	D2F5FF7A-3BB8-8B2D-B6E0-458A02509731	6204527C-2787-CD8F-1DE5-BA09839A8170	6	951028A6-42E4-2BBD-44DF-7C7C82BB3D93	0	1583904901	{"knivesThrown":14,"time":11.966666666667,"levelTime":5.5833333333333,"levelKnivesThrown":0,"completeStar":true,"timePar":10,"knivesPar":13,"timeStar":false,"knivesStar":false}
3	D2F5FF7A-3BB8-8B2D-B6E0-458A02509731	6204527C-2787-CD8F-1DE5-BA09839A8170	7	2B1C7827-95E0-3F3A-817E-6E145402083C	1	1583904905	{"level":2,"stage":1,"hasCompleted":false,"replayCount":"0"}
3	D2F5FF7A-3BB8-8B2D-B6E0-458A02509731	6204527C-2787-CD8F-1DE5-BA09839A8170	8	NULL	0	1583904920	{"knivesThrown":18,"time":13.833333333334,"levelTime":0,"levelKnivesThrown":0}
3	D2F5FF7A-3BB8-8B2D-B6E0-458A02509731	6204527C-2787-CD8F-1DE5-BA09839A8170	8	D8BCADE1-AACB-7AB6-AA7E-F4CA994F0211	1	1583904920	{"level":2,"stage":2,"hasCompleted":false,"replayCount":"0"}
