cid	uid	sessionid	qid	dqid	q_s_id	log_q_ts	q_detail
7	F5061989-0654-456D-EDAC-885E87E6A259	85924DD5-E5A6-3139-30A6-EDAD456BC4AF	1	0FA3C9D5-88BF-3411-DB67-FD039A5195D7	1	1584245273	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
7	F5061989-0654-456D-EDAC-885E87E6A259	85924DD5-E5A6-3139-30A6-EDAD456BC4AF	1	0FA3C9D5-88BF-3411-DB67-FD039A5195D7	0	1584245352	{"level":1,"stage":1,"knivesThrown":3,"time":3.8666666666667,"levelTime":3.8666666666667,"levelKnivesThrown":3,"throwerSpeed":225}
7	F5061989-0654-456D-EDAC-885E87E6A259	85924DD5-E5A6-3139-30A6-EDAD456BC4AF	2	C39C4835-CA37-266F-AE14-D77DEBCA1094	1	1584245352	{"level":1,"stage":2,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
7	F5061989-0654-456D-EDAC-885E87E6A259	85924DD5-E5A6-3139-30A6-EDAD456BC4AF	1	60B77D3B-14E1-7A0D-0B9E-BEB411DCE7E5	1	1584245378	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"1","throwerSpeed":225}
7	D1857682-FC7C-931D-5884-B721784BFE9D	D8601178-7196-443E-507B-2C2365E51AEC	1	2A0AA42C-2787-DB03-253A-E7D53C9BE917	1	1584245888	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
7	D1857682-FC7C-931D-5884-B721784BFE9D	D8601178-7196-443E-507B-2C2365E51AEC	2	066C4189-4BC1-31BA-7A02-4DC0E58AE785	1	1584245900	{"level":1,"stage":2,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
7	D1857682-FC7C-931D-5884-B721784BFE9D	D8601178-7196-443E-507B-2C2365E51AEC	1	2A0AA42C-2787-DB03-253A-E7D53C9BE917	0	1584245900	{"level":1,"stage":1,"knivesThrown":5,"time":10.833333333333,"levelTime":10.833333333333,"levelKnivesThrown":5,"throwerSpeed":225}
7	D1857682-FC7C-931D-5884-B721784BFE9D	D8601178-7196-443E-507B-2C2365E51AEC	3	FDFB1B6D-CB13-00B7-86A1-185748661675	1	1584245915	{"level":1,"stage":3,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
7	D1857682-FC7C-931D-5884-B721784BFE9D	D8601178-7196-443E-507B-2C2365E51AEC	2	066C4189-4BC1-31BA-7A02-4DC0E58AE785	0	1584245915	{"level":1,"stage":2,"knivesThrown":15,"time":26.466666666666,"levelTime":15.633333333334,"levelKnivesThrown":10,"throwerSpeed":225}
7	D1857682-FC7C-931D-5884-B721784BFE9D	D8601178-7196-443E-507B-2C2365E51AEC	3	FDFB1B6D-CB13-00B7-86A1-185748661675	0	1584245924	{"level":1,"stage":3,"knivesThrown":22,"time":34.949999999999,"levelTime":8.4833333333333,"levelKnivesThrown":7,"throwerSpeed":225,"completeStar":true,"timePar":10,"knivesPar":13,"timeStar":false,"knivesStar":false}
